id,gtfs_id,stop_id
157,ORLEANS:StopArea:00004950,155
158,ORLEANS:StopArea:00004951,156
159,ORLEANS:StopArea:00008501,157
160,ORLEANS:StopArea:00008500,158
161,ORLEANS:StopArea:00004900,159
162,ORLEANS:StopArea:00004901,160
163,ORLEANS:StopArea:00005051,161
164,ORLEANS:StopArea:00005050,162
165,ORLEANS:StopArea:00005105,163
166,ORLEANS:StopArea:01007105,164
167,ORLEANS:StopArea:00005100,165
168,ORLEANS:StopArea:00005103,166
169,ORLEANS:StopArea:00005150,167
170,ORLEANS:StopArea:01010601,168
171,ORLEANS:StopArea:00005201,169
172,ORLEANS:StopArea:00005202,170
173,ORLEANS:StopArea:00035972,171
174,ORLEANS:StopArea:00035973,172
175,ORLEANS:StopArea:00005402,173
176,ORLEANS:StopArea:00005401,174
177,ORLEANS:StopArea:00005400,175
178,ORLEANS:StopArea:00004750,176
179,ORLEANS:StopArea:00005440,177
180,ORLEANS:StopArea:TCAHDV2,178
181,ORLEANS:StopArea:TCAHDV1,179
182,ORLEANS:StopArea:00005722,180
183,ORLEANS:StopArea:00005801,181
184,ORLEANS:StopArea:00005800,182
185,ORLEANS:StopArea:00009923,183
186,ORLEANS:StopArea:00009922,184
187,ORLEANS:StopArea:00028090,185
188,ORLEANS:StopArea:00028091,186
189,ORLEANS:StopArea:00005955,187
190,ORLEANS:StopArea:00005954,188
191,ORLEANS:StopArea:01061302,189
192,ORLEANS:StopArea:03065901,190
193,ORLEANS:StopArea:00004820,191
194,ORLEANS:StopArea:00004821,192
195,ORLEANS:StopArea:00006000,193
196,ORLEANS:StopArea:00006001,194
197,ORLEANS:StopArea:00006300,195
198,ORLEANS:StopArea:00006301,196
199,ORLEANS:StopArea:01024801,197
200,ORLEANS:StopArea:01024802,198
201,ORLEANS:StopArea:00006121,199
202,ORLEANS:StopArea:00006120,200
203,ORLEANS:StopArea:01063602,201
204,ORLEANS:StopArea:01063601,202
205,ORLEANS:StopArea:00006515,203
206,ORLEANS:StopArea:01023302,204
207,ORLEANS:StopArea:00006200,205
208,ORLEANS:StopArea:00006201,206
209,ORLEANS:StopArea:00006404,207
210,ORLEANS:StopArea:00006403,208
211,ORLEANS:StopArea:00006500,209
212,ORLEANS:StopArea:01071501,210
213,ORLEANS:StopArea:01071502,211
214,ORLEANS:StopArea:00006621,212
215,ORLEANS:StopArea:00006620,213
216,ORLEANS:StopArea:01070602,214
217,ORLEANS:StopArea:01070601,215
218,ORLEANS:StopArea:00052001,216
219,ORLEANS:StopArea:00052000,217
220,ORLEANS:StopArea:00006701,218
221,ORLEANS:StopArea:00006700,219
222,ORLEANS:StopArea:01081101,220
223,ORLEANS:StopArea:00006800,221
224,ORLEANS:StopArea:00006802,222
225,ORLEANS:StopArea:00006801,223
226,ORLEANS:StopArea:00006803,224
227,ORLEANS:StopArea:00023901,225
228,ORLEANS:StopArea:00023900,226
229,ORLEANS:StopArea:00006830,227
230,ORLEANS:StopArea:01070301,228
231,ORLEANS:StopArea:01070302,229
232,ORLEANS:StopArea:00006850,230
233,ORLEANS:StopArea:00006851,231
234,ORLEANS:StopArea:00006901,232
235,ORLEANS:StopArea:00006900,233
236,ORLEANS:StopArea:01047702,234
237,ORLEANS:StopArea:00007003,235
238,ORLEANS:StopArea:00007301,236
239,ORLEANS:StopArea:00007300,237
240,ORLEANS:StopArea:00007600,238
241,ORLEANS:StopArea:00007601,239
242,ORLEANS:StopArea:00007701,240
243,ORLEANS:StopArea:00007700,241
244,ORLEANS:StopArea:01036303,242
245,ORLEANS:StopArea:00007750,243
246,ORLEANS:StopArea:00007751,244
247,ORLEANS:StopArea:00007800,245
248,ORLEANS:StopArea:00007801,246
249,ORLEANS:StopArea:00008100,247
250,ORLEANS:StopArea:00008101,248
251,ORLEANS:StopArea:00050001,249
252,ORLEANS:StopArea:00050000,250
253,ORLEANS:StopArea:00053900,251
254,ORLEANS:StopArea:00053901,252
255,ORLEANS:StopArea:00022101,253
256,ORLEANS:StopArea:00007710,254
257,ORLEANS:StopArea:00007711,255
258,ORLEANS:StopArea:TPOSTA2,256
259,ORLEANS:StopArea:00007921,257
260,ORLEANS:StopArea:00007920,258
261,ORLEANS:StopArea:TPOSTA1,259
262,ORLEANS:StopArea:00007924,260
263,ORLEANS:StopArea:00007923,261
264,ORLEANS:StopArea:00008000,262
265,ORLEANS:StopArea:00008001,263
266,ORLEANS:StopArea:00008490,264
267,ORLEANS:StopArea:01047802,265
268,ORLEANS:StopArea:00007901,266
269,ORLEANS:StopArea:00007900,267
270,ORLEANS:StopArea:00012700,268
271,ORLEANS:StopArea:00012701,269
272,ORLEANS:StopArea:00055401,270
273,ORLEANS:StopArea:00055400,271
274,ORLEANS:StopArea:00055700,272
275,ORLEANS:StopArea:00055701,273
276,ORLEANS:StopArea:00008630,274
277,ORLEANS:StopArea:00008631,275
278,ORLEANS:StopArea:00008800,276
279,ORLEANS:StopArea:00008801,277
280,ORLEANS:StopArea:01078303,278
281,ORLEANS:StopArea:00008943,279
282,ORLEANS:StopArea:TCLARC2,280
283,ORLEANS:StopArea:00008942,281
284,ORLEANS:StopArea:TCLARC1,282
285,ORLEANS:StopArea:00009001,283
286,ORLEANS:StopArea:00009000,284
287,ORLEANS:StopArea:00025801,285
288,ORLEANS:StopArea:00025800,286
289,ORLEANS:StopArea:00009111,287
290,ORLEANS:StopArea:00009112,288
291,ORLEANS:StopArea:THAMEA2,289
292,ORLEANS:StopArea:THAMEA1,289
293,ORLEANS:StopArea:00009113,290
294,ORLEANS:StopArea:01002511,291
295,ORLEANS:StopArea:00009110,292
296,ORLEANS:StopArea:00009121,293
297,ORLEANS:StopArea:00009120,294
298,ORLEANS:StopArea:01071301,295
299,ORLEANS:StopArea:01071302,296
300,ORLEANS:StopArea:00008946,297
301,ORLEANS:StopArea:00008945,298
302,ORLEANS:StopArea:00009211,299
303,ORLEANS:StopArea:00009210,300
304,ORLEANS:StopArea:00037871,301
305,ORLEANS:StopArea:00037870,302
306,ORLEANS:StopArea:TCOMET2,303
307,ORLEANS:StopArea:TCOMET1,304
308,ORLEANS:StopArea:00009321,305
309,ORLEANS:StopArea:00009320,306
310,ORLEANS:StopArea:00009401,307
311,ORLEANS:StopArea:00009400,308
312,ORLEANS:StopArea:00009500,309
313,ORLEANS:StopArea:00009501,310
314,ORLEANS:StopArea:00009621,311
315,ORLEANS:StopArea:00009620,312
316,ORLEANS:StopArea:TCOLIG2,313
317,ORLEANS:StopArea:00009700,314
318,ORLEANS:StopArea:00009704,315
319,ORLEANS:StopArea:00009705,316
320,ORLEANS:StopArea:00009720,317
321,ORLEANS:StopArea:TCOLIG1,318
322,ORLEANS:StopArea:00009701,319
323,ORLEANS:StopArea:00009721,320
324,ORLEANS:StopArea:00031140,321
325,ORLEANS:StopArea:00055201,322
326,ORLEANS:StopArea:00055200,323
327,ORLEANS:StopArea:00010100,324
328,ORLEANS:StopArea:01054303,325
329,ORLEANS:StopArea:00010200,326
330,ORLEANS:StopArea:00010201,327
331,ORLEANS:StopArea:00008640,328
332,ORLEANS:StopArea:00008641,329
333,ORLEANS:StopArea:00010300,330
334,ORLEANS:StopArea:00010301,331
335,ORLEANS:StopArea:01019903,332
336,ORLEANS:StopArea:00010400,333
337,ORLEANS:StopArea:00044221,334
338,ORLEANS:StopArea:00044220,335
339,ORLEANS:StopArea:00010600,336
340,ORLEANS:StopArea:00010601,337
341,ORLEANS:StopArea:00010701,338
342,ORLEANS:StopArea:00010700,339
343,ORLEANS:StopArea:01011703,340
344,ORLEANS:StopArea:01011701,341
345,ORLEANS:StopArea:00010901,342
346,ORLEANS:StopArea:00010900,343
347,ORLEANS:StopArea:00051502,344
348,ORLEANS:StopArea:00051500,345
349,ORLEANS:StopArea:00044170,346
350,ORLEANS:StopArea:00044171,347
351,ORLEANS:StopArea:00011100,348
352,ORLEANS:StopArea:00011101,349
353,ORLEANS:StopArea:06026703,350
354,ORLEANS:StopArea:01026703,351
355,ORLEANS:StopArea:01026705,352
356,ORLEANS:StopArea:06026706,353
357,ORLEANS:StopArea:01026704,354
358,ORLEANS:StopArea:01026706,355
359,ORLEANS:StopArea:00011501,356
360,ORLEANS:StopArea:00011500,357
361,ORLEANS:StopArea:00011601,358
362,ORLEANS:StopArea:00011600,359
363,ORLEANS:StopArea:01034004,360
364,ORLEANS:StopArea:01034003,361
365,ORLEANS:StopArea:00011803,362
366,ORLEANS:StopArea:01027205,363
367,ORLEANS:StopArea:00011801,364
368,ORLEANS:StopArea:00011802,365
369,ORLEANS:StopArea:00011900,366
370,ORLEANS:StopArea:00011901,367
371,ORLEANS:StopArea:TCXMOR2,368
372,ORLEANS:StopArea:TCXMOR1,369
373,ORLEANS:StopArea:01011402,370
374,ORLEANS:StopArea:00012202,371
375,ORLEANS:StopArea:00005931,372
376,ORLEANS:StopArea:00005930,373
377,ORLEANS:StopArea:00012303,374
378,ORLEANS:StopArea:00012302,375
379,ORLEANS:StopArea:00012311,376
380,ORLEANS:StopArea:00012310,377
381,ORLEANS:StopArea:00012322,378
382,ORLEANS:StopArea:00012323,379
383,ORLEANS:StopArea:00012400,380
384,ORLEANS:StopArea:00012401,381
385,ORLEANS:StopArea:01001306,382
386,ORLEANS:StopArea:TTOURE2,382
387,ORLEANS:StopArea:00046821,383
388,ORLEANS:StopArea:TTOURE1,384
389,ORLEANS:StopArea:01001304,385
390,ORLEANS:StopArea:TGAULA2,386
391,ORLEANS:StopArea:TGAULB2,387
392,ORLEANS:StopArea:TGAULB1,388
393,ORLEANS:StopArea:01001506,389
394,ORLEANS:StopArea:TGAULA1,390
395,ORLEANS:StopArea:06001506,391
396,ORLEANS:StopArea:00012500,392
397,ORLEANS:StopArea:01010304,393
398,ORLEANS:StopArea:00012501,394
399,ORLEANS:StopArea:01010303,395
400,ORLEANS:StopArea:00012900,396
